Country Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PRK,10549470,10248503,10049020,9957244,9972434,10086997,10285935,10547385,10843977,11145152,11424189,11665592,11871726,12065468,12282417,12547524,12864947,13222703,13609976,14010339,14410391,14809518,15207765,15593353,15952077,16274737,16554743,16796568,17015984,17235668,17472144,17731229,18008568,18298212,18590142,18877226,19156791,19431992,19708316,19993757,20293057,20609151,20937407,21265832,21577979,21862300,22113428,22335263,22536754,22731470,22929078,23132982,23339453,23542434,23732740,23904167,24054866,24188330,24310143,24428340,24548840,24673392,24800638,24929500,25057793,25183832,25307665,25429816,25549606,25666158,25778815,25887045,25990675,26089814,26184714,26275486,26362050,26443896,26520112,26589553,26651329,26705181,26751212,26789465,26820130,26843429,26859423,26868292,26870564,26866946,26858031,26844107,26825440,26802605,26776255,26746915,26714945,26680483,26643521,26603933,26561614,26516712,26469406,26419787,26367970,26314040,26258076,26200152,26140337,26078657,26015176,25949980,25883154,25814744,25744760,25673261,25600322,25526068,25450652,25374291,25297153,25219300,25140837,25061936,24982805,24903576,24824364,24745140,24665840,24586290,24506349,24425988,24345234,24264093,24182604,24100764,24018599,23936040,23852914,23768995,23684130,23598274,23511457,23423779,23335363,23246286,23156663,23066503,22975843,22884635,22792833
PRT,8416971,8418739,8451545,8503169,8563703,8625538,8683415,8734425,8777697,8814023,8844638,8869989,8888509,8896266,8888226,8862277,8814774,8750863,8687873,8649249,8651334,8700000,8789110,8907928,9039977,9172240,9302297,9431036,9552609,9660749,9750966,9820868,9870822,9902992,9921243,9929176,9926426,9914073,9899198,9890823,9895358,9916052,9951305,9996642,10045032,10091322,10134016,10174564,10214046,10254501,10297117,10341456,10385993,10429615,10470926,10508494,10542837,10573150,10595312,10604066,10596055,10569388,10526308,10473025,10418224,10368346,10325540,10288527,10256192,10226178,10196707,10167923,10140568,10114017,10087499,10060416,10032460,10003591,9973879,9943539,9912683,9881252,9849065,9816093,9782258,9747507,9711816,9675109,9637346,9598422,9558276,9516872,9474210,9430217,9384873,9338114,9289975,9240472,9189676,9137689,9084579,9030424,8975305,8919333,8862636,8805342,8747554,8689395,8631005,8572523,8514103,8455861,8397943,8340483,8283668,8227647,8172519,8118416,8065500,8013962,7963951,7915529,7868756,7823633,7780198,7738434,7698337,7659870,7622894,7587268,7552832,7519520,7487263,7455871,7425161,7394925,7365100,7335653,7306512,7277672,7249096,7220766,7192728,7164988,7137579,7110582,7084061,7058112,7032855,7008422,6984955
PRY,1473241,1511850,1550983,1590868,1631711,1673667,1716878,1761454,1807458,1854966,1903990,1954552,2006675,2060340,2115573,2172309,2230733,2290797,2351926,2413396,2474757,2535877,2597149,2659418,2723816,2791236,2861868,2935710,3013281,3095151,3181627,3272922,3368763,3468533,3571275,3676206,3783074,3891725,4001678,4112395,4223413,4334348,4445019,4555518,4666096,4776838,4887638,4998096,5107840,5216346,5323202,5428442,5531958,5632983,5730556,5824095,5913212,5998430,6081296,6163970,6248017,6333981,6421510,6510273,6599524,6688746,6777878,6867058,6956069,7044639,7132530,7219641,7305842,7391010,7475017,7557749,7639094,7718990,7797416,7874406,7949969,8024082,8096652,8167613,8236834,8304245,8369781,8433465,8495318,8555417,8613804,8670488,8725427,8778627,8830087,8879805,8927747,8973927,9018309,9060881,9101631,9140541,9177587,9212694,9245785,9276815,9305729,9332512,9357149,9379632,9399924,9418046,9433966,9447625,9458976,9467989,9474654,9479014,9481086,9480895,9478482,9473896,9467181,9458435,9447779,9435320,9421133,9405289,9387843,9368845,9348396,9326538,9303361,9278962,9253444,9226907,9199394,9170988,9141717,9111634,9080783,9049173,9016850,8983838,8950135,8915772,8880726,8845012,8808605,8771488,8733633
PSE,931925,923891,932068,948892,968699,987751,1004288,1018477,1032101,1048133,1069318,1096752,1128577,1159400,1181893,1191381,1184969,1165752,1142224,1126372,1126628,1146321,1182426,1229370,1278559,1323805,1363618,1400121,1434992,1471138,1510717,1554190,1600956,1650926,1703808,1759533,1817981,1879750,1946376,2019825,2101445,2191000,2287676,2391399,2501973,2618671,2742534,2872006,3000624,3119868,3224009,3309908,3380161,3441868,3505320,3577956,3662421,3756459,3856692,3957684,4055632,4149654,4241572,4333521,4428634,4529160,4635644,4747233,4862978,4981422,5101416,5222756,5345545,5469363,5593762,5718415,5843003,5967459,6091897,6216593,6341724,6467257,6593042,6718989,6845033,6971079,7097071,7222953,7348663,7474115,7599231,7723929,7848165,7971831,8094890,8217272,8338898,8459696,8579525,8698259,8815777,8931989,9046839,9160311,9272415,9383116,9492380,9600121,9706289,9810760,9913479,10014388,10113443,10210594,10305835,10399133,10490448,10579747,10666931,10751934,10834683,10915127,10993255,11069076,11142621,11213897,11282894,11349596,11414018,11476109,11535900,11593356,11648520,11701411,11752090,11800585,11846931,11891114,11933143,11973007,12010700,12046210,12079555,12110737,12139770,12166638,12191332,12213849,12234200,12252319,12268218
PYF,60270,62066,63848,65585,67237,68847,70436,72062,73830,75803,78080,80705,83652,86847,90132,93442,96719,99990,103329,106814,110490,114385,118438,122641,126919,131229,135559,139893,144273,148734,153298,157954,162679,167456,172249,177024,181807,186588,191260,195728,199906,203716,207238,210644,214196,218064,222323,226854,231562,236217,240681,244929,248976,252707,255995,258779,261007,262717,264064,265256,266449,267702,268995,270332,271713,273119,274576,276108,277673,279285,280904,282534,284160,285792,287417,289034,290631,292212,293759,295262,296695,298095,299431,300696,301898,303019,304085,305049,305961,306775,307521,308186,308765,309263,309692,310035,310318,310506,310636,310681,310651,310564,310407,310182,309897,309554,309164,308711,308215,307678,307077,306440,305764,305043,304299,303512,302698,301858,300977,300078,299135,298159,297167,296149,295100,294015,292920,291807,290663,289491,288303,287099,285872,284624,283366,282088,280790,279494,278176,276845,275515,274180,272821,271459,270087,268702,267300,265891,264459,263013,261545
QAT,25006,27497,29872,32061,34051,35863,37616,39451,41542,44118,47383,51427,56266,61721,67562,73631,79850,86298,93206,100880,109521,119413,130505,142181,153624,164314,173716,182319,191947,205172,223622,247984,277229,309299,341272,370886,397739,422154,443611,461688,476275,487354,495403,501479,507044,513447,522530,535320,551566,570486,592467,615013,640872,681791,753332,865410,1022704,1218441,1436670,1654944,1856329,2035862,2196078,2336579,2459202,2565708,2654379,2724727,2781682,2832071,2881060,2930524,2979915,3028940,3076461,3121709,3165098,3207422,3248613,3288485,3326888,3363928,3399701,3434026,3466630,3497396,3526247,3553356,3579118,3604093,3628689,3653050,3677134,3700864,3724100,3746727,3768781,3790264,3811189,3831480,3851121,3870086,3888387,3905966,3922787,3938849,3954101,3968563,3982252,3995152,4007280,4018647,4029275,4039183,4048408,4057003,4065005,4072405,4079260,4085613,4091499,4096956,4101983,4106631,4110897,4114810,4118380,4121644,4124595,4127229,4129497,4131471,4133157,4134603,4135849,4136939,4137894,4138763,4139595,4140435,4141334,4142343,4143506,4144844,4146399,4148202,4150287,4152702,4155490,4158705,4162408
REU,248114,259293,268481,276524,284083,291663,299575,307982,316882,326165,335694,345407,355425,366085,377797,390773,405286,420996,436688,450742,462029,470116,475476,478910,481689,484785,488348,492289,496906,502499,509264,517414,526950,537401,548141,558704,568913,578938,588985,599447,610584,622413,634793,647590,660565,673543,686462,699307,712000,724484,736714,748653,760250,771377,781861,791598,800533,808728,816325,823529,830507,837336,843984,850506,856960,863359,869742,876131,882531,888932,895308,901696,908063,914382,920614,926707,932636,938416,944038,949497,954814,959954,964923,969688,974226,978514,982543,986295,989776,992976,995890,998530,1000880,1002937,1004722,1006225,1007455,1008431,1009137,1009618,1009875,1009903,1009723,1009365,1008842,1008170,1007370,1006443,1005410,1004304,1003083,1001805,1000454,999061,997615,996146,994630,993090,991522,989943,988331,986689,985015,983303,981562,979769,977904,975984,973997,971930,969769,967521,965167,962715,960140,957433,954595,951627,948528,945275,941897,938388,934730,930947,927039,923011,918856,914598,910224,905783,901249
ROU,16236289,16512669,16764911,17005719,17243812,17483935,17726634,17968470,18202715,18420450,18613945,18780210,18924152,19059934,19207139,19379575,19582332,19810612,20055976,20305348,20548912,20783555,21011147,21232622,21450405,21665640,21879077,22087896,22285505,22463310,22615644,22737209,22830547,22907296,22983962,23071258,23175055,23288388,23393739,23466413,23489156,23456646,23375828,23256959,23115814,22964747,22805706,22637600,22466291,22298122,22137423,21989354,21853278,21720403,21577890,21417287,21234312,21034196,20829521,20637995,20471860,20336718,20227467,20132780,20035928,19925182,19796280,19653966,19506110,19364558,19237682,19127772,19031330,18944132,18859614,18772908,18682885,18590731,18496691,18401617,18306092,18209876,18112423,18013907,17914574,17814661,17714194,17613139,17511517,17409326,17306604,17203348,17099618,16995494,16891072,16786458,16681670,16576690,16471449,16365836,16259784,16153316,16046465,15939125,15831249,15722751,15613688,15504167,15394370,15284497,15174770,15065296,14956238,14847822,14740360,14634090,14529159,14425675,14323854,14223923,14126068,14030395,13936903,13845523,13756062,13668419,13582554,13498445,13416080,13335384,13256308,13178795,13102761,13028099,12954667,12882338,12811015,12740628,12671154,12602558,12534806,12467825,12401486,12335673,12270208,12204976,12139823,12074652,12009340,11943804,11877961
RUS,102798649,104304698,105967087,107727310,109536504,111355301,113154332,114913780,116622392,118275873,119871700,121403897,122858215,124210253,125430991,126503741,127417192,128187398,128859795,129497500,130148650,130830724,131539633,132275730,133032258,133804859,134596225,135413335,136259824,137139387,138053143,138993850,139954626,140935774,141938482,142957289,143995348,145032886,146013482,146863927,147531562,147995584,148268576,148373584,148349443,148227471,148020852,147730020,147360613,146915915,146404890,145830726,145215707,144610876,144080649,143672125,143403258,143266207,143248764,143326904,143479273,143703027,143993888,144325456,144664837,144985059,145275374,145530091,145734034,145872260,145934460,145912022,145805944,145628574,145399122,145132732,144834096,144502582,144142094,143755891,143347514,142920743,142480339,142031804,141581092,141133253,140691316,140257453,139834566,139425187,139031166,138653905,138293612,137949040,137618026,137298524,136989919,136691347,136399882,136111929,135824486,135536208,135246179,134952374,134652680,134345557,134030334,133706988,133375709,133037034,132691791,132340522,131984366,131625410,131266312,130909578,130556577,130208933,129869666,129542228,129229482,128932940,128653535,128392824,128152186,127932619,127734645,127558218,127402732,127267111,127150223,127051240,126969144,126902187,126848306,126805394,126772129,126746779,126726423,126707716,126687821,126664708,126637131,126604211,126565286,126519545,126465953,126403213,126329706,126243569,126142651
RWA,2186183,2251125,2314181,2379688,2450362,2527293,2609863,2695818,2781612,2862799,2935575,2998334,3052937,3105417,3164258,3235536,3321674,3420897,3529839,3643237,3757351,3871428,3987223,4106411,4231579,4364709,4506109,4655386,4812872,4978812,5153314,5329250,5504847,5690989,5902847,6146884,6443748,6779981,7088194,7276983,7288883,7083928,6702239,6263758,5936253,5836490,6013112,6419898,6962800,7501238,7933688,8231150,8427061,8557160,8680516,8840220,9043342,9273759,9524532,9782770,10039338,10293333,10549668,10811538,11083629,11369066,11668829,11980960,12301969,12626938,12952209,13276517,13600466,13924498,14249748,14576991,14906021,15236259,15567728,15900437,16234390,16569545,16905822,17243241,17581814,17921529,18262224,18603834,18946321,19289696,19633864,19978728,20323997,20669216,21013767,21357201,21699157,22039447,22377824,22714087,23048001,23379351,23707817,24033018,24354528,24671982,24985116,25293794,25597874,25897274,26191924,26481672,26766392,27045941,27320233,27589161,27852635,28110620,28363077,28610002,28851412,29087258,29317522,29542178,29761291,29974877,30182887,30385310,30582145,30773403,30959061,31139122,31313499,31482139,31644959,31801856,31952830,32097820,32236696,32369296,32495532,32615346,32728757,32835811,32936610,33031197,33119638,33201976,33278256,33348478,33412642
SAU,3121340,3198811,3283593,3372837,3464662,3558165,3653505,3751798,3855030,3965799,4086534,4218852,4362788,4516540,4677304,4843632,5015353,5195124,5387822,5599909,5836388,6100631,6392973,6711922,7054532,7419486,7802928,8207695,8646845,9137928,9691471,10311771,10988851,11701132,12418836,13118998,13794167,14445663,15070082,15666289,16233786,16772695,17282686,17763297,18214475,18638790,19033843,19407138,19783301,20194531,20663840,21202646,21805322,22456645,23132686,23816175,24498313,25184589,25888535,26630303,27421468,28267591,29154906,30052058,30916603,31717676,32443443,33101182,33702757,34268529,34813867,35340680,35844913,36329422,36796733,37248922,37688056,38115319,38530653,38933198,39322336,39698888,40063489,40415057,40752000,41073376,41378724,41668966,41946261,42213572,42473029,42725264,42969738,43205819,43432494,43648832,43854776,44050204,44234092,44405179,44562484,44705608,44834544,44949035,45048974,45134338,45205191,45261749,45304267,45333105,45348772,45351656,45342458,45322263,45292437,45254187,45208252,45155319,45096571,45033264,44966465,44896883,44825011,44751403,44676479,44600603,44524111,44447226,44370017,44292358,44214176,44135486,44056232,43976076,43894547,43811264,43726062,43638808,43549190,43456865,43361552,43263063,43161353,43056376,42948149,42836724,42722078,42604210,42483111,42358729,42231012
SDN,5733789,5884651,6041332,6204099,6373314,6549294,6732439,6923115,7121738,7328726,7544498,7769475,8004122,8248817,8503989,8770094,9047803,9337662,9639846,9954411,10281695,10621471,10974626,11343923,11732957,12144128,12578398,13034631,13510429,14002302,14507466,15027254,15562129,16107613,16657955,17210182,17757494,18303430,18867559,19476653,20147592,20891442,21696240,22527837,23338465,24094741,24782384,25413912,26015518,26626512,27275019,27971077,28704786,29460517,30214189,30949514,31661824,32360619,33060843,33783779,34545014,35349676,36193781,37072555,37977657,38902948,39847433,40813398,41801532,42813237,43849269,44909351,45992018,47095255,48216429,49353477,50505221,51671307,52851431,54045559,55253531,56474670,57708033,58952794,60208072,61473010,62746985,64029386,65319421,66616292,67919277,69227768,70541336,71859598,73182241,74508989,75839512,77173480,78510550,79850417,81192821,82537311,83883750,85232582,86584468,87939765,89298375,90659628,92022607,93386116,94749119,96110943,97471147,98829195,100184544,101536631,102884814,104228362,105566359,106897842,108221908,109537890,110845206,112143086,113430778,114707596,115973006,117226581,118467861,119696490,120912127,122114460,123303231,124478340,125639776,126787511,127921414,129041368,130147433,131239699,132318242,133383053,134434107,135471320,136494626,137503962,138499335,139480793,140448351,141402164,142342356
SEN,2486642,2545343,2606617,2670733,2737910,2808239,2881767,2958481,3038293,3121093,3206757,3295280,3386803,3481654,3580241,3682879,3789381,3899648,4014107,4133323,4257508,4387532,4522886,4660726,4797188,4929846,5057375,5181505,5306685,5439069,5583157,5740441,5909734,6089567,6277420,6471329,6670665,6875746,7086624,7303511,7526306,7755503,7990090,8226749,8461066,8690155,8912872,9130876,9347777,9568717,9797731,10036102,10283694,10541470,10810086,11090123,11382272,11687078,12004700,12335092,12678143,13033814,13401990,13782429,14174740,14578450,14993514,15419354,15854324,16296362,16743930,17196308,17653669,18116526,18585815,19062244,19545826,20036323,20533936,21038921,21551461,22071533,22599124,23134328,23677238,24227854,24786138,25351821,25924427,26503327,27087986,27678063,28273347,28873556,29478374,30087549,30700804,31317828,31938161,32561309,33186850,33814477,34443988,35075461,35709021,36344727,36982516,37622064,38263020,38904908,39547370,40190110,40833060,41476327,42120142,42764597,43409624,44054909,44699970,45344244,45987237,46628596,47268206,47906109,48542449,49177206,49810252,50441145,51069369,51694252,52315237,52931976,53544225,54151687,54754051,55351057,55942448,56527938,57107256,57680092,58246197,58805383,59357533,59902566,60440431,60971079,61494486,62010648,62519520,63021097,63515357
SGP,1022095,1067797,1119932,1177580,1239692,1305103,1372516,1440490,1507544,1572174,1633133,1689600,1741457,1789374,1834517,1877826,1919274,1958735,1996870,2034514,2072284,2110958,2150498,2189609,2226377,2259721,2288860,2314988,2341401,2372594,2411690,2460503,2517983,2580915,2644495,2705537,2762442,2816974,2873279,2937277,3012968,3101144,3199642,3305801,3415701,3525964,3638177,3752131,3860721,3954741,4028872,4077150,4104407,4129227,4177202,4265693,4402324,4578629,4775810,4966614,5131170,5263640,5369469,5453732,5525628,5592143,5653625,5708042,5757503,5804343,5850343,5896684,5943551,5990292,6035675,6078760,6119586,6158533,6195443,6230132,6262465,6292363,6319769,6344626,6366868,6386454,6403394,6417695,6429411,6438647,6445489,6450003,6452270,6452433,6450679,6447175,6442025,6435317,6427251,6417931,6407528,6396144,6383866,6370813,6357099,6342834,6328083,6312903,6297343,6281392,6265076,6248408,6231470,6214271,6196823,6179157,6161287,6143284,6125152,6106917,6088605,6070250,6051919,6033677,6015645,5997918,5980531,5963533,5946949,5930806,5915138,5899966,5885328,5871249,5857703,5844707,5832293,5820465,5809256,5798681,5788776,5779551,5771046,5763293,5756332,5750193,5744931,5740606,5737212,5734825,5733477
SHN,5249,5285,5317,5331,5340,5346,5352,5363,5374,5375,5363,5342,5333,5325,5310,5325,5365,5424,5505,5600,5696,5798,5914,6028,6139,6231,6323,6397,6458,6522,6584,6646,6702,6759,6800,6818,6820,6800,6759,6715,6654,6573,6487,6394,6305,6244,6200,6185,6166,6125,6054,5944,5799,5644,5489,5354,5261,5184,5153,5135,5183,5281,5416,5583,5737,5869,5958,6008,6039,6061,6071,6095,6108,6125,6135,6147,6158,6158,6169,6169,6174,6175,6173,6166,6162,6150,6135,6122,6103,6080,6058,6036,6010,5982,5959,5935,5902,5873,5845,5810,5781,5748,5720,5694,5665,5632,5610,5581,5553,5523,5492,5468,5442,5411,5378,5357,5330,5299,5273,5242,5211,5191,5157,5138,5109,5085,5062,5031,5012,4987,4959,4934,4910,4890,4864,4834,4814,4793,4765,4737,4723,4689,4673,4642,4624,4597,4581,4553,4531,4517,4496
SLB,89793,91790,94059,96539,99191,102001,104935,107986,111157,114436,117847,121385,125040,128838,132766,136815,140995,145319,149887,154830,160240,166163,172550,179306,186297,193401,200602,207885,215299,222841,230550,238423,246451,254566,262691,270787,278834,286871,294976,303272,311869,320781,330004,339501,349273,359276,369517,379998,390702,401592,412665,423949,435434,447016,458549,469918,481086,492133,503366,515182,527861,541522,556066,571329,587079,603133,619438,636030,652856,669821,686878,703995,721164,738416,755823,773422,791210,809198,827409,845872,864603,883632,902930,922535,942429,962628,983122,1003907,1024952,1046218,1067654,1089272,1111051,1132985,1155068,1177281,1199622,1222085,1244661,1267370,1290214,1313190,1336277,1359482,1382746,1406082,1429447,1452873,1476340,1499862,1523443,1547110,1570822,1594564,1618353,1642145,1665941,1689740,1713543,1737349,1761173,1784989,1808802,1832586,1856321,1880003,1903600,1927122,1950528,1973809,1996922,2019856,2042606,2065159,2087507,2109661,2131599,2153291,2174745,2195939,2216864,2237514,2257866,2277922,2297690,2317150,2336299,2355145,2373680,2391888,2409767
SLE,2041201,2064466,2088480,2113345,2139090,2165816,2193620,2222596,2252841,2284487,2317638,2352370,2388759,2426864,2466671,2508226,2551580,2596798,2644011,2693344,2744890,2798727,2854866,2913347,2974105,3037158,3102595,3170503,3240841,3313506,3388494,3464113,3540164,3619854,3707513,3805304,3916685,4038154,4156636,4254434,4319763,4348663,4347727,4328965,4309780,4303953,4312660,4335295,4381484,4462374,4584570,4754069,4965770,5201074,5433995,5645629,5829240,5989641,6133599,6272735,6415636,6563238,6712586,6863975,7017153,7171909,7328846,7488427,7650149,7813207,7976985,8141343,8306441,8472212,8638684,8805824,8973539,9141700,9310309,9479307,9648679,9818353,9988223,10158154,10327979,10497558,10666767,10835532,11003793,11171521,11338668,11505127,11670776,11835409,11998801,12160743,12321121,12479820,12636745,12791790,12944875,13095875,13244689,13391235,13535402,13677098,13816245,13952758,14086556,14217583,14345791,14471100,14593417,14712663,14828703,14941440,15050827,15156801,15259286,15358217,15453538,15545191,15633173,15717471,15798098,15875047,15948322,16017933,16083880,16146174,16204831,16259866,16311319,16359214,16403626,16444595,16482193,16516410,16547304,16574822,16598989,16619848,16637504,16652024,16663532,16672162,16677978,16681122,16681637,16679643,16675197
SLV,2199903,2237778,2280443,2327374,2378242,2432877,2491249,2553506,2619901,2690747,2766319,2846601,2931187,3019224,3109571,3201310,3293954,3387384,3481624,3576834,3673066,3770060,3867310,3964273,4060255,4154689,4247508,4338451,4426679,4511127,4591135,4666361,4737256,4804936,4871041,4936803,5002339,5067531,5133273,5200608,5270074,5342190,5416327,5490478,5561916,5628602,5689943,5746288,5797764,5844834,5887930,5927001,5962139,5994075,6023801,6052124,6079395,6105810,6131767,6157678,6183877,6210567,6237922,6266076,6295124,6325121,6356137,6388124,6420740,6453550,6486201,6518500,6550396,6581790,6612662,6642934,6672550,6701346,6728924,6754784,6778592,6800113,6819432,6836973,6853291,6868804,6883645,6897638,6910507,6921891,6931496,6939250,6945232,6949521,6952232,6953443,6953191,6951395,6948078,6943204,6936792,6928814,6919285,6908193,6895506,6881218,6865331,6847848,6828748,6808013,6785672,6761707,6736106,6708893,6680076,6649651,6617634,6584029,6548825,6512049,6473698,6433804,6392355,6349357,6304799,6258653,6210993,6161814,6111158,6059041,6005535,5950633,5894443,5837054,5778547,5719030,5658559,5597231,5535169,5472483,5409353,5345820,5281970,5217858,5153516,5088995,5024354,4959665,4894990,4830435,4766079
SMR,12774,12924,13095,13297,13532,13789,14072,14379,14707,15061,15440,15836,16254,16669,17101,17508,17919,18309,18668,18980,19224,19393,19490,19561,19661,19829,20086,20397,20764,21122,21453,21761,22043,22295,22546,22794,23046,23297,23548,23833,24124,24454,24830,25208,25588,25925,26253,26563,26851,27141,27460,27818,28175,28561,28942,29324,29694,30068,30434,30825,31221,31655,32103,32554,32941,33270,33503,33671,33784,33864,33938,34010,34076,34153,34203,34252,34298,34341,34365,34395,34412,34418,34437,34436,34445,34433,34433,34419,34395,34378,34341,34300,34262,34210,34154,34078,33998,33925,33826,33734,33635,33526,33413,33303,33176,33059,32939,32805,32685,32567,32447,32325,32200,32079,31965,31852,31740,31636,31526,31427,31336,31225,31126,31037,30945,30860,30761,30688,30606,30524,30461,30381,30321,30255,30190,30139,30083,30034,29984,29943,29898,29858,29837,29798,29776,29751,29730,29720,29700,29703,29693
SOM,2264076,2307679,2351943,2397188,2443647,2491543,2541019,2592154,2645028,2699620,2755967,2814125,2874215,2936478,3001160,3068465,3143654,3227835,3312735,3386736,3444569,3472357,3479792,3512626,3632986,3880285,4278974,4802134,5375018,5892763,6281138,6511115,6608040,6618594,6614713,6648628,6736751,6862267,7005226,7133263,7225089,7274026,7295380,7315864,7372592,7491647,7682683,7936122,8235064,8553595,8872250,9186719,9501335,9815412,10130251,10446856,10763904,11080122,11397188,11717691,12043886,12376305,12715487,13063711,13423571,13797204,14185635,14589165,15008225,15442906,15893219,16359500,16841805,17339387,17851255,18376519,18914825,19465985,20029453,20604653,21191041,21788274,22396036,23013815,23641068,24277388,24922534,25576422,26239058,26910531,27590986,28280256,28978406,29685864,30403282,31131080,31869268,32617629,33376074,34144420,34922449,35709924,36506461,37311478,38124208,38943961,39770259,40602627,41440315,42282477,43128355,43977409,44829173,45683185,46539025,47396258,48254521,49113409,49972480,50831297,51689495,52546642,53402511,54257260,55111234,55964540,56817059,57668253,58517535,59364126,60207347,61046752,61882032,62712813,63538760,64359492,65174592,65983541,66785869,67581103,68368720,69148219,69919136,70680965,71433238,72175417,72907008,73627459,74336227,75032744,75716429
SPM,4567,4609,4648,4678,4721,4749,4801,4841,4886,4929,4975,5014,5041,5081,5120,5162,5229,5297,5380,5464,5551,5642,5753,5845,5932,6005,6051,6103,6122,6138,6129,6109,6067,6030,6003,6017,6068,6148,6236,6327,6385,6425,6435,6423,6416,6389,6375,6366,6350,6324,6298,6255,6207,6150,6118,6113,6160,6220,6286,6343,6361,6323,6251,6168,6073,5992,5933,5885,5845,5821,5795,5771,5757,5751,5732,5728,5714,5703,5695,5687,5675,5666,5656,5652,5635,5630,5619,5608,5596,5582,5562,5532,5511,5484,5453,5426,5392,5358,5322,5288,5257,5213,5178,5136,5096,5054,5013,4980,4940,4903,4871,4837,4803,4766,4736,4710,4683,4657,4627,4605,4582,4559,4531,4502,4478,4463,4445,4418,4402,4379,4362,4339,4321,4304,4284,4265,4250,4230,4211,4197,4175,4160,4138,4124,4100,4082,4062,4041,4016,4000,3984
SRB,6732252,6853292,6963394,7063171,7153361,7234917,7308930,7376691,7439611,7499166,7556732,7613358,7669607,7725498,7780687,7835085,7888803,7942636,7997997,8056665,8119865,8187994,8260626,8337073,8416255,8497172,8579634,8663330,8746979,8829036,8908295,8984597,9057971,9127675,9192920,9253396,9306347,9352149,9397310,9450770,9517677,9602879,9701145,9795253,9861631,9884145,9856064,9784689,9685430,9580824,9487612,9410769,9346464,9292232,9242643,9193818,9145913,9101189,9060105,9023354,8991258,8963761,8940116,8918892,8898284,8876777,8853963,8829623,8802741,8772228,8737370,8697547,8653017,8604998,8555295,8505249,8455287,8405107,8354504,8303049,8250433,8196718,8142135,8086723,8030517,7973559,7915894,7857606,7798777,7739556,7680059,7620337,7560448,7500478,7440557,7380765,7321158,7261726,7202415,7143149,7083830,7024478,6965075,6905554,6845859,6785915,6725707,6665254,6604536,6543565,6482353,6420914,6359243,6297416,6235479,6173491,6111475,6049470,5987530,5925705,5864055,5802608,5741409,5680466,5619796,5559422,5499371,5439668,5380358,5321490,5263100,5205208,5147840,5091013,5034753,4979099,4924041,4869612,4815798,4762621,4710050,4658106,4606792,4556080,4505981,4456491,4407582,4359241,4311453,4264193,4217425
SSD,2482306,2501570,2525204,2552932,2584512,2619718,2658300,2700075,2744848,2792443,2842718,2895609,2951041,3009061,3069735,3133155,3199348,3268392,3340426,3415572,3494011,3575896,3661442,3750780,3844094,3941613,4041792,4144551,4253085,4371711,4502603,4646478,4799435,4953154,5096478,5220748,5328167,5419808,5485288,5511582,5492620,5420179,5305449,5185712,5111371,5118084,5221925,5411653,5661934,5933884,6199396,6447791,6688225,6935665,7213354,7535931,7907407,8315144,8736932,9142258,9508372,9830695,10113648,10355030,10554882,10715657,10832520,10910774,10975924,11062114,11193729,11381377,11618517,11891023,12176471,12458298,12733035,13005726,13278371,13555245,13839272,14130090,14425424,14724362,15025658,15328327,15631924,15936416,16241858,16548472,16856408,17165512,17475469,17786075,18097095,18408335,18719596,19030793,19341779,19652471,19962715,20272394,20581349,20889480,21196654,21502756,21807646,22111156,22413119,22713409,23011842,23308284,23602547,23894357,24183427,24469516,24752383,25031941,25308063,25580694,25849734,26115059,26376505,26633951,26887211,27136188,27380716,27620728,27856092,28086714,28312481,28533363,28749246,28960007,29165473,29365531,29560111,29749188,29932938,30111551,30285175,30453851,30617522,30776097,30929434,31077462,31220132,31357449,31489464,31616290,31738064
