disease,Country Code,scenario,ConsiderTC,ConsiderMB,informal,discount,GDPloss,tax,pc_loss
Diabetes mellitus,COD,lower,1,1,0.0,0.0,9.94262311455307,0.0014136488553844,71.50429513127526
Diabetes mellitus,COG,lower,1,1,0.0,0.0,0.5168535825921936,0.0011710512515475,64.95446481437989
Diabetes mellitus,COK,lower,1,1,0.0,0.0,0.0780143481165533,0.0052024121116981915,4477.996107217269
Diabetes mellitus,COL,lower,1,1,0.0,0.0,154.82581655105994,0.0047232969719099,2862.057211730925
Diabetes mellitus,COM,lower,1,1,0.0,0.0,0.1012467537315273,0.0007798435823958,86.79783219773785
Diabetes mellitus,CPV,lower,1,1,0.0,0.0,0.5116255489964838,0.0028664664314599,815.3277425418503
Diabetes mellitus,CRI,lower,1,1,0.0,0.0,27.985225642390365,0.0053921002718534,5051.559513956133
Diabetes mellitus,CUB,lower,1,1,0.0,0.0,26.596276555625465,0.003882460151960907,2440.899031891102
Diabetes mellitus,CYP,lower,1,1,0.0,0.0,8.920099501107693,0.0043072402679482,6890.4380623218485
Diabetes mellitus,CZE,lower,1,1,0.0,0.0,130.02800692255803,0.0062875237835388,12185.611052069376
Diabetes mellitus,DEU,lower,1,1,0.0,0.0,1059.5149077316958,0.0064596444718304,12856.415210422903
Diabetes mellitus,DJI,lower,1,1,0.0,0.0,0.5161484417861634,0.0011182298209547,444.9893605757552
Diabetes mellitus,DMA,lower,1,1,0.0,0.0,0.124586797292527,0.004400342234523245,1718.958668726617
Diabetes mellitus,DNK,lower,1,1,0.0,0.0,50.2159545778628,0.0035656467165655,8289.772780217096
Diabetes mellitus,DOM,lower,1,1,0.0,0.0,43.92251432811417,0.0031417562041675,3654.2844783483297
Diabetes mellitus,DZA,lower,1,1,0.0,0.0,53.38170556506301,0.0028008841110723714,1009.9381453534106
Diabetes mellitus,ECU,lower,1,1,0.0,0.0,38.81825305953373,0.005969389541224,1874.798121005649
Diabetes mellitus,EGY,lower,1,1,0.0,0.0,170.09544216692774,0.0020135769953942106,1300.344802348587
Diabetes mellitus,ERI,lower,1,1,0.0,0.0,0.5362557911856817,0.0011053949061227309,113.98582150490785
Diabetes mellitus,ESP,lower,1,1,0.0,0.0,254.9470150530716,0.0034427519650155,5591.990798144186
Diabetes mellitus,EST,lower,1,1,0.0,0.0,6.20191241758561,0.0025052507317641,4969.900015227036
Diabetes mellitus,ETH,lower,1,1,0.0,0.0,22.76470673458096,0.0007025910268111,142.1044918764998
Diabetes mellitus,FIN,lower,1,1,0.0,0.0,49.26176943458325,0.0048208967990333,8873.67124644455
Diabetes mellitus,FJI,lower,1,1,0.0,0.0,3.075037204906128,0.0067608188307572,3097.953365555016
Diabetes mellitus,FRA,lower,1,1,0.0,0.0,217.4989926286597,0.0019960596123626,3249.281516790687
Diabetes mellitus,FSM,lower,1,1,0.0,0.0,0.05279119936816809,0.0036635988307452696,407.42367136112125
Diabetes mellitus,GAB,lower,1,1,0.0,0.0,4.880010931127433,0.0034301484768227,1621.74818257463
