Index,Location,Notes,LocID,Country Code,LocType,LocTypeName,ParentID,WorldID,SubRegID,SubRegName,SDGSubRegID,SDGSubRegName,SDGRegID,SDGRegName,GeoRegID,GeoRegName,MoreDev,LessDev,LeastDev,oLessDev,LessDev_ExcludingChina,LLDC,SIDS,WB_HIC,WB_MIC,WB_UMIC,WB_LMIC,WB_LIC,WB_NoIncomeGroup,MaxHIV_Male,MaxHIV_Female,MaxHIV_BothSexes,YearMaxHIV_BothSexes,HIVAIDSMortalityImpact_AgePattern,HIVAIDSMortalityImpact_e0,TotPop2019LessThan90k
277,France,33,250,FRA,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.61,0.32,0.46,2015,,,
278,Germany,,276,DEU,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.22,0.09,0.16,2017,,,
279,Liechtenstein,,438,LIE,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
280,Luxembourg,,442,LUX,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.41,0.12,0.27,2017,,,
281,Monaco,,492,MCO,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,Yes
282,Netherlands,34,528,NLD,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,0.32,0.08,0.20,2013,,,
283,Switzerland,,756,CHE,4,Country/Area,926,   900,926,Western Europe,917,Europe,1829,Europe and Northern America,908,Europe,901,,,,,,,1503,,,,,,,,,,,,
284,NORTHERN AMERICA,,918,   ,24,SDG subregion,1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Bermuda,14,60,BMU,4,Country/Area,918,   900,,,918,Northern America,1829,Europe and Northern America,905,Northern America,901,,,,,,1637,1503,,,,,,,,,,,,Yes
286,Canada,,124,CAN,4,Country/Area,918,   900,,,918,Northern America,1829,Europe and Northern America,905,Northern America,901,,,,,,,1503,,,,,,,,,,,,
287,Greenland,26,304,GRL,4,Country/Area,918,   900,,,918,Northern America,1829,Europe and Northern America,905,Northern America,901,,,,,,,1503,,,,,,,,,,,,Yes
288,Saint Pierre and Miquelon,2,666,SPM,4,Country/Area,918,   900,,,918,Northern America,1829,Europe and Northern America,905,Northern America,901,,,,,,,,,,,,1518,,,,,,,Yes
289,United States of America,35,840,USA,4,Country/Area,918,   900,,,918,Northern America,1829,Europe and Northern America,905,Northern America,901,,,,,,,1503,,,,,,,,,,,,
